scroll,group,protocol,chunks,profiles,periodicity,periodicity_ci95_low,periodicity_ci95_high,modulation,ci95_low,ci95_high,coherence,spacing_um,fog_fraction,incoherent_fraction,volume
PHerc0500P2,ink found,"9.36 µm, 1.2 m, 113 keV",133,4291,0.186,0.18,0.194,0.376,0.368,0.385,0.65,142.0,0.008,0.193,20250820143440-9.362um-1.2m-113keV-masked.zarr
PHerc0139,ink found,"9.36 µm, 1.2 m, 113 keV",173,6255,0.195,0.188,0.203,0.343,0.331,0.356,0.73,153.0,0.025,0.096,20250728140407-9.362um-1.2m-113keV-masked.zarr
PHerc1451,other,"8.64 µm, 1.2 m, 116 keV",164,6157,0.192,0.186,0.198,0.332,0.322,0.341,0.71,143.0,0.018,0.061,20250521151225-8.640um-1.2m-116keV-masked.zarr
PHerc0826,eligible,"9.36 µm, 1.2 m, 113 keV",168,5271,0.187,0.181,0.194,0.316,0.302,0.329,0.6,153.0,0.026,0.216,20250821151701-9.362um-1.2m-113keV-masked.zarr
PHerc0841,ink found,"9.36 µm, 1.2 m, 113 keV",171,5629,0.182,0.177,0.188,0.302,0.292,0.315,0.57,151.0,0.045,0.177,20250821151531-9.366um-1.2m-113keV-masked.zarr
PHerc0814,ink found,"9.36 µm, 1.2 m, 113 keV",180,6229,0.177,0.172,0.181,0.3,0.287,0.31,0.59,132.0,0.041,0.135,20250804134230-9.362um-1.2m-113keV-masked.zarr
PHerc0343P,ink found,"8.64 µm, 1.2 m, 116 keV",119,3786,0.174,0.167,0.182,0.277,0.263,0.29,0.6,140.0,0.065,0.205,20250521134555-8.640um-1.2m-116keV-masked.zarr
PHerc0358,eligible,"9.36 µm, 1.2 m, 113 keV",170,5676,0.184,0.178,0.19,0.277,0.26,0.295,0.65,138.0,0.118,0.165,20250821151737-9.362um-1.2m-113keV-masked.zarr
PHerc0813,eligible,"9.36 µm, 1.2 m, 113 keV",164,5690,0.189,0.184,0.195,0.276,0.258,0.294,0.65,150.0,0.129,0.133,20250821151723-9.362um-1.2m-113keV-masked.zarr
PHerc0175A,eligible,"8.64 µm, 1.2 m, 116 keV",155,5292,0.2,0.192,0.208,0.264,0.249,0.278,0.62,155.0,0.115,0.146,20250521115057-8.640um-1.2m-116keV-masked.zarr
PHerc1545,eligible,"9.36 µm, 1.2 m, 113 keV",165,4612,0.178,0.172,0.184,0.26,0.247,0.272,0.46,140.0,0.1,0.301,20250821151648-9.362um-1.2m-113keV-masked.zarr
PHerc0306B,eligible,"8.64 µm, 1.2 m, 116 keV",165,5293,0.184,0.179,0.191,0.258,0.246,0.271,0.53,148.0,0.109,0.198,20250521133212-8.640um-1.2m-116keV-masked.zarr
PHerc0009B,ink found,"8.64 µm, 1.2 m, 116 keV",140,3873,0.191,0.183,0.199,0.256,0.245,0.266,0.45,156.0,0.072,0.308,20250521125136-8.640um-1.2m-116keV-masked.zarr
PHerc1447,ink found,"8.64 µm, 1.2 m, 116 keV",170,5145,0.194,0.188,0.2,0.252,0.237,0.267,0.52,155.0,0.133,0.243,20250521151220-8.640um-1.2m-116keV-masked.zarr
PHerc0343,eligible,"8.64 µm, 1.2 m, 116 keV",165,5104,0.197,0.189,0.205,0.246,0.226,0.263,0.55,159.0,0.202,0.227,20250521140437-8.640um-1.2m-116keV-masked.zarr
PHerc1203,eligible,"9.36 µm, 1.2 m, 113 keV",169,5429,0.181,0.176,0.188,0.243,0.227,0.261,0.54,163.0,0.174,0.197,20250820131727-9.362um-1.2m-113keV-masked.zarr
PHerc0211,eligible,"9.36 µm, 1.2 m, 113 keV",166,5267,0.176,0.171,0.181,0.238,0.226,0.252,0.55,141.0,0.157,0.207,20250821151803-9.362um-1.2m-113keV-masked.zarr
PHerc0483B,eligible,"8.64 µm, 1.2 m, 116 keV",165,5033,0.199,0.193,0.206,0.238,0.225,0.252,0.5,149.0,0.136,0.237,20251124083638-8.640um-1.2m-116keV-masked.zarr
PHerc0800,eligible,"8.64 µm, 1.2 m, 116 keV",172,5168,0.2,0.193,0.208,0.235,0.221,0.248,0.52,158.0,0.174,0.249,20250521135224-8.640um-1.2m-116keV-masked.zarr
PHerc0846A,eligible,"9.36 µm, 1.2 m, 113 keV",172,4768,0.18,0.177,0.185,0.233,0.216,0.248,0.45,146.0,0.177,0.307,20250728152254-9.362um-1.2m-113keV-masked.zarr
PHerc0191,eligible,"9.36 µm, 1.2 m, 113 keV",163,5095,0.176,0.171,0.18,0.232,0.218,0.247,0.53,144.0,0.184,0.219,20250821151635-9.362um-1.2m-113keV-masked.zarr
PHerc0125,eligible,"9.36 µm, 1.2 m, 113 keV",173,4367,0.184,0.179,0.19,0.223,0.212,0.232,0.39,151.0,0.157,0.369,20250821151825-9.362um-1.2m-113keV-masked.zarr
PHerc0175B,eligible,"8.64 µm, 1.2 m, 116 keV",162,5206,0.197,0.191,0.204,0.222,0.208,0.237,0.55,163.0,0.221,0.197,20250521125822-8.640um-1.2m-116keV-masked.zarr
PHerc0490A,eligible,"8.64 µm, 1.2 m, 116 keV",150,4350,0.188,0.182,0.194,0.222,0.211,0.234,0.47,156.0,0.191,0.275,20250521151210-8.640um-1.2m-116keV-masked.zarr
PHerc0846B,eligible,"9.36 µm, 1.2 m, 113 keV",155,4319,0.181,0.176,0.186,0.222,0.211,0.236,0.45,145.0,0.188,0.303,20250804142305-9.362um-1.2m-113keV-masked.zarr
